pickup_datetime,pickup_longitude,pickup_latitude,pickup_hour,pickup_day,pickup_dayname,pickup_monthname,pickup_groupofday,pickup_timeofday,distance,average_speed,duration_min
2016-02-23 12:16:42,-73.8626937866211,40.76898956298828,12,1,Tuesday,February,Weekday,Afternoon,13.519612557966154,23.298518529764554,35.0
2016-02-17 00:07:44,-73.78238677978516,40.64451217651367,0,2,Wednesday,February,Weekday,Late night,22.001278880742568,30.866954002600643,43.0
2016-02-08 15:43:03,-73.86323547363281,40.77003860473633,15,0,Monday,February,Weekday,Afternoon,14.377826122575547,18.034903847133087,48.0
2016-02-29 10:04:11,-73.78610229492188,40.63975524902344,10,0,Monday,February,Weekday,Morning,20.266746559843202,21.81174517651286,56.0
2016-02-12 15:20:26,-73.8709487915039,40.77381134033203,15,4,Friday,February,Weekday,Afternoon,12.384033197289696,14.52672515811108,51.0
2016-02-23 18:59:13,-73.8729248046875,40.7740478515625,18,1,Tuesday,February,Weekday,Evening,9.842213691654841,13.759988073769875,43.0
2016-02-29 12:39:38,-73.86353302001953,40.770050048828125,12,0,Monday,February,Weekday,Afternoon,9.128551722596407,15.791824219772737,35.0
2016-02-15 11:25:34,-73.77680206298828,40.645332336425774,11,0,Monday,February,Weekday,Morning,9.732227006666115,17.456909428997516,33.0
2016-02-26 08:38:44,-73.86399078369139,40.76990509033203,8,4,Friday,February,Weekday,Morning,8.688068461350232,15.49135535456208,34.0
2016-02-28 16:23:12,-73.78921508789062,40.64150238037109,16,6,Sunday,February,Weekend,Afternoon,20.134275125922027,17.63157150409129,69.0
2016-02-14 14:05:52,-73.77677917480467,40.64536285400391,14,6,Sunday,February,Weekend,Afternoon,20.744500418034452,29.71754934537367,42.0
2016-02-17 18:02:52,-73.87076568603516,40.77363967895508,18,2,Wednesday,February,Weekday,Evening,13.083314348564274,23.031751420455446,34.0
2016-02-10 19:34:39,-73.7767562866211,40.64523315429688,19,2,Wednesday,February,Weekday,Evening,21.047669229367596,30.927187439070753,41.0
2016-02-22 08:02:56,-73.86274719238281,40.768951416015625,8,0,Monday,February,Weekday,Morning,10.33066676496637,13.339454933242084,46.0
2016-02-18 11:23:16,-73.87298583984375,40.773956298828125,11,3,Thursday,February,Weekday,Morning,10.256970674076786,13.206400009540927,47.0
2016-02-11 14:45:13,-73.87297821044923,40.7741813659668,14,3,Thursday,February,Weekday,Afternoon,10.405683521227623,10.64520053322519,59.0
2016-02-17 11:10:44,-73.8730239868164,40.774147033691406,11,2,Wednesday,February,Weekday,Morning,10.360196273246142,14.626159444582788,42.0
2016-02-09 15:53:34,-73.79006195068358,40.64363098144531,15,1,Tuesday,February,Weekday,Afternoon,20.425965631744646,26.224492251883284,47.0
2016-02-12 09:05:34,-73.88619232177734,40.767402648925774,9,4,Friday,February,Weekday,Morning,16.635869371579147,11.098800915063924,90.0
2016-02-26 12:21:21,-73.77678680419923,40.64536285400391,12,4,Friday,February,Weekday,Afternoon,20.29127100035849,23.043714700722575,53.0
2016-02-12 08:19:55,-73.91264343261719,40.742713928222656,8,4,Friday,February,Weekday,Morning,7.189231324992429,12.484916917497706,35.0
2016-02-19 09:13:58,-73.8635025024414,40.76971435546875,9,4,Friday,February,Weekday,Morning,10.256124163403118,15.409869360705853,40.0
2016-02-20 12:49:19,-73.78243255615233,40.64432144165039,12,5,Saturday,February,Weekend,Afternoon,16.589843233373614,22.760455655543065,44.0
2016-02-04 20:34:36,-73.87310791015625,40.77410125732422,20,3,Thursday,February,Weekday,Evening,10.59463927243773,12.517460249680285,51.0
2016-02-16 10:22:04,-73.78206634521484,40.6445541381836,10,1,Tuesday,February,Weekday,Morning,23.785204158557537,35.00684177056711,41.0
2016-02-22 08:01:41,-73.78988647460938,40.64691925048828,8,0,Monday,February,Weekday,Morning,14.339604307531513,20.71531922436334,42.0
2016-02-29 18:22:33,-73.78026580810547,40.64558410644531,18,0,Monday,February,Weekday,Evening,20.36246003149903,24.93362452836616,49.0
2016-02-16 06:24:23,-73.78126525878906,40.64509582519531,6,1,Tuesday,February,Weekday,Morning,19.739242517945108,26.34826587489892,45.0
2016-02-19 15:59:29,-73.87075805664062,40.77364349365234,15,4,Friday,February,Weekday,Afternoon,9.978886950370654,16.945279727044507,35.0
2016-02-19 16:54:26,-73.87279510498048,40.77413940429688,16,4,Friday,February,Weekday,Afternoon,13.552673461587831,19.61786267057346,41.0
2016-02-13 14:35:43,-73.78881072998048,40.64678955078125,14,5,Saturday,February,Weekend,Afternoon,22.53745201434816,34.205239144879165,40.0
2016-02-01 07:56:45,-73.77661895751953,40.64542388916016,7,0,Monday,February,Weekday,Morning,9.812912421620233,10.29026644853855,57.0
2016-02-10 21:04:50,-73.78221130371094,40.64468383789063,21,2,Wednesday,February,Weekday,Evening,20.65249505113176,35.590704731486035,35.0
2016-02-20 13:31:18,-73.86299133300781,40.76921081542969,13,5,Saturday,February,Weekend,Afternoon,10.005211000457304,17.17632789778078,35.0
2016-02-17 14:05:41,-73.86273193359375,40.768867492675774,14,2,Wednesday,February,Weekday,Afternoon,16.38861595789928,24.63424528118472,40.0
2016-02-27 14:49:18,-73.78199768066406,40.644805908203125,14,5,Saturday,February,Weekend,Afternoon,21.155218831580626,28.513211454021064,45.0
2016-02-01 10:06:24,-73.873046875,40.774124145507805,10,0,Monday,February,Weekday,Morning,10.848927380162218,19.182779257654214,34.0
2016-02-20 11:26:45,-73.863525390625,40.76957321166992,11,5,Saturday,February,Weekend,Morning,10.540524848952646,16.483878999230896,38.0
2016-02-09 13:04:51,-73.78256225585938,40.64450073242188,13,1,Tuesday,February,Weekday,Afternoon,20.492177575089713,30.00074797491784,41.0
2016-02-23 11:57:08,-73.78074645996092,40.64517593383789,11,1,Tuesday,February,Weekday,Morning,21.15243504164659,25.92739739527672,49.0
2016-02-20 20:24:36,-73.78217315673827,40.64474105834961,20,5,Saturday,February,Weekend,Evening,20.944991028552746,33.3194731342421,38.0
2016-02-17 15:37:37,-73.77674865722656,40.64544296264648,15,2,Wednesday,February,Weekday,Afternoon,12.839377229474565,21.84393101422894,35.0
2016-02-29 12:31:00,-73.86334991455078,40.76992034912109,12,0,Monday,February,Weekday,Afternoon,10.669799871431557,10.432178038336124,61.0
2016-02-14 14:16:06,-73.78189086914062,40.64473342895508,14,6,Sunday,February,Weekend,Afternoon,21.94272419915378,29.1275099988767,45.0
2016-02-25 10:58:26,-73.87301635742188,40.77416610717773,10,3,Thursday,February,Weekday,Morning,9.374218962888873,13.312500302327393,42.0
2016-02-02 01:45:11,-73.87084197998048,40.77375411987305,1,1,Tuesday,February,Weekday,Late night,8.93699040281289,0.4017176572329085,1335.0
2016-02-02 11:04:04,-73.78182983398438,40.64495849609375,11,1,Tuesday,February,Weekday,Morning,23.39099233831303,42.08274483654518,33.0
2016-02-26 12:39:27,-73.78983306884764,40.647071838378906,12,4,Friday,February,Weekday,Afternoon,19.70530881427706,18.39707254444954,64.0
2016-02-02 16:29:49,-73.77667236328125,40.64529037475586,16,1,Tuesday,February,Weekday,Afternoon,23.05566750228671,28.69008054207817,48.0
2016-02-23 19:06:16,-73.86298370361328,40.76894378662109,19,1,Tuesday,February,Weekday,Evening,9.928867079142725,14.263336586158742,42.0
2016-02-27 13:05:44,-73.8631134033203,40.769241333007805,13,5,Saturday,February,Weekend,Afternoon,11.97093637066171,20.025729988095797,36.0
2016-02-25 16:37:39,-73.86266326904298,40.768890380859375,16,3,Thursday,February,Weekday,Afternoon,14.907966376021628,11.64179586847676,77.0
