pickup_datetime,pickup_longitude,pickup_latitude,pickup_hour,pickup_day,pickup_dayname,pickup_monthname,pickup_groupofday,pickup_timeofday,distance,average_speed,duration_min
2016-03-18 08:22:10,-73.77718353271484,40.646499633789055,8,4,Friday,March,Weekday,Morning,21.650686976214768,15.255915661454916,85.0
2016-03-20 19:25:47,-73.7767562866211,40.6453857421875,19,6,Sunday,March,Weekend,Evening,20.031154985383846,34.111711422602575,35.0
2016-03-26 05:54:15,-73.78214263916014,40.64468002319336,5,5,Saturday,March,Weekend,Dawn,18.4583890427508,28.14493881995039,39.0
2016-03-25 15:40:55,-73.7901840209961,40.64678192138672,15,4,Friday,March,Weekday,Afternoon,19.143978472146397,21.892732687333872,52.0
2016-03-15 09:04:19,-73.87446594238281,40.77407836914063,9,1,Tuesday,March,Weekday,Morning,7.6516958807347555,10.39083559813094,44.0
2016-03-31 14:02:55,-73.77676391601561,40.64504623413086,14,3,Thursday,March,Weekday,Afternoon,20.770746043641044,19.667197726751123,63.0
2016-03-20 17:38:22,-73.87287139892578,40.7742576599121,17,6,Sunday,March,Weekend,Evening,13.93731493930799,23.644832130776987,35.0
2016-03-20 16:05:14,-73.78186798095702,40.64455795288086,16,6,Sunday,March,Weekend,Afternoon,23.982588511112972,34.00445791256664,42.0
2016-03-18 10:38:13,-73.87459564208984,40.774112701416016,10,4,Friday,March,Weekday,Morning,9.081582914213055,10.580484948597734,52.0
2016-03-06 12:19:01,-73.77681732177734,40.645145416259766,12,6,Sunday,March,Weekend,Afternoon,22.045017720395407,32.848536338337524,40.0
2016-03-15 18:52:44,-73.86357879638672,40.76973724365234,18,1,Tuesday,March,Weekday,Evening,11.062605376008872,15.02844503910639,44.0
2016-03-05 19:32:44,-73.78194427490233,40.64472579956056,19,5,Saturday,March,Weekend,Evening,15.193309919844545,19.464738687345324,47.0
2016-03-10 19:03:37,-73.87443542480467,40.77398300170898,19,3,Thursday,March,Weekday,Evening,11.388375864896577,17.989536249946326,38.0
2016-03-30 09:39:02,-73.90792846679686,40.75331115722656,9,2,Wednesday,March,Weekday,Morning,6.692676897218836,9.910998284651505,41.0
2016-03-17 06:20:43,-73.78176879882812,40.64463806152344,6,3,Thursday,March,Weekday,Morning,15.51826811566372,25.67360533841424,36.0
2016-03-18 10:59:05,-73.7830581665039,40.64445495605469,10,4,Friday,March,Weekday,Morning,20.438640693919165,25.98132291599894,47.0
2016-03-01 06:14:14,-73.77674102783203,40.64541244506836,6,1,Tuesday,March,Weekday,Morning,21.90642187600554,24.590931946872445,53.0
2016-03-09 19:11:16,-73.87468719482422,40.7739486694336,19,2,Wednesday,March,Weekday,Evening,12.33937324063376,21.605906452471565,34.0
2016-03-09 17:25:27,-73.78184509277344,40.64473342895508,17,2,Wednesday,March,Weekday,Evening,21.17498555691857,23.49875092629681,54.0
2016-03-10 13:56:35,-73.7810821533203,40.64504623413086,13,3,Thursday,March,Weekday,Afternoon,19.841352000210858,24.905462761770952,48.0
2016-03-02 06:51:27,-73.78182220458984,40.64458847045898,6,2,Wednesday,March,Weekday,Morning,19.704811195558356,10.23922059815388,115.0
2016-03-15 14:27:03,-73.8636703491211,40.769657135009766,14,1,Tuesday,March,Weekday,Afternoon,12.127180975429141,20.296537197370945,36.0
2016-03-26 11:15:07,-73.86394500732422,40.7696647644043,11,5,Saturday,March,Weekend,Morning,10.072812007452024,6.852253066293894,88.0
2016-03-16 09:14:15,-73.87074279785155,40.77364730834961,9,2,Wednesday,March,Weekday,Morning,15.59324382694834,23.02529851395161,41.0
2016-03-17 15:14:18,-73.78202819824217,40.6446533203125,15,3,Thursday,March,Weekday,Afternoon,20.09274624733035,28.145481124665082,43.0
